name,time,settingskey,settingsvalue
MSCSettings,1699217406000000000,isBrakeArray,x2222222222222222
MSCSettings,1699218066000000000,isBrakeArray,x22222222222222
MSCSettings,1699218126000000000,isBrakeArray,x2222222222222222
MSCSettings,1699219506000000000,isBrakeArray,x22222222222222
MSCSettings,1699219566000000000,isBrakeArray,x2222222222222222
MSCSettings,1699220946000000000,isBrakeArray,x222222222222
MSCSettings,1699221006000000000,isBrakeArray,x2222222222222222
MSCSettings,1699221426000000000,isBrakeArray,x1111111111111111
MSCSettings,1699221486000000000,isBrakeArray,x2222222222222221
MSCSettings,1699221546000000000,isBrakeArray,x2222222222222222
MSCSettings,1699221666000000000,isBrakeArray,x222
MSCSettings,1699221726000000000,isBrakeArray,x2222222222222222
MSCSettings,1699221906000000000,isBrakeArray,x2222222122122222
MSCSettings,1699221925000000000,userStopSchema,13/13/13/13/13/13/12/2/13/13/2/13/12/12/12/13
MSCSettings,1699221966000000000,isBrakeArray,x2222222122222222
MSCSettings,1699221985000000000,userStopSchema,13/13/13/13/13/13/12/6/13/13/12/13/12/12/12/13
MSCSettings,1699223106000000000,isBrakeArray,x22222221222222
MSCSettings,1699223166000000000,isBrakeArray,x2222222122222222
MSCSettings,1699223826000000000,isBrakeArray,x22222212222
MSCSettings,1699223886000000000,isBrakeArray,x2222222122222222
MSCSettings,1699225746000000000,isBrakeArray,x1111111111111111
MSCSettings,1699225806000000000,isBrakeArray,x2222211111111111
MSCSettings,1699225866000000000,isBrakeArray,x1111111111111111
MSCSettings,1699225986000000000,isBrakeArray,x222211111
MSCSettings,1699226046000000000,isBrakeArray,x2222222122222222
MSCSettings,1699226406000000000,isBrakeArray,x2212212112222222
MSCSettings,1699226425000000000,userStopSchema,13/13/12/13/13/12/12/6/2/13/12/13/12/12/12/13
MSCSettings,1699226466000000000,isBrakeArray,x2222222122222222
MSCSettings,1699226485000000000,userStopSchema,13/13/12/13/13/12/12/6/12/13/12/13/12/12/12/13
MSCSettings,1699226706000000000,isBrakeArray,x222222122
MSCSettings,1699226766000000000,isBrakeArray,x2222222122222222
